0.085397	6.6018e-17	3.6137e+05	3.3257e+05	298.96	0.00021145	0.00051203	0.00051203	0.00051244
0.085397	6.6018e-17	3.6137e+05	3.3257e+05	298.98	0.000202	0.00049954	0.00049954	0.00049995
0.085397	6.6018e-17	3.6137e+05	3.3257e+05	298.99	0.00019255	0.00049521	0.00049521	0.00049564
0.085397	6.6018e-17	3.6137e+05	3.3257e+05	298.99	0.00018901	0.00049091	0.00049091	0.00049134
0.085397	6.6018e-17	3.6137e+05	3.3257e+05	299	0.00019019	0.00048738	0.00048738	0.00048782
0.085397	6.6018e-17	3.6137e+05	3.3257e+05	298.87	0.00025989	0.00066	0.00066	0.0006607
0.085397	6.6018e-17	3.6137e+05	3.3257e+05	298.77	0.00045716	0.00087073	0.00087073	0.0008722
0.085397	6.6018e-17	3.6137e+05	3.3257e+05	298.99	5.3159e-06	0.00053557	0.066407	0.004564
0.085397	6.6018e-17	3.6137e+05	3.3257e+05	298.82	1.217e-05	0.00081862	0.065315	0.0070901
0.085397	6.6018e-17	3.6137e+05	3.3257e+05	298.71	1.607e-05	0.00099129	0.064341	0.0086774
0.085397	6.6018e-17	3.6137e+05	3.3257e+05	298.59	3.3769e-05	0.0011875	0.064308	0.010504
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.44	3.4578e-05	0.00082949	0.00082949	0.00083089
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.39	3.1156e-05	0.00089498	0.00089498	0.00089659
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.39	5.0392e-05	0.00088843	0.00088843	0.00088999
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.44	0.00011624	0.00081017	0.00081017	0.00081142
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.29	0.00021124	0.00098318	0.00098318	0.00098492
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.33	0.00019354	0.00095987	0.00095987	0.00096163
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.36	0.00018292	0.0009294	0.0009294	0.00093112
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.81	0.00076423	0.00033805	0.08785	0.0040803
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.45	0.0029201	0.0008293	0.083773	0.010459
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.72	0.0013182	0.00046311	0.084168	0.0056705
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.26	0.0038608	0.0010906	0.083273	0.012889
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.04	0.0047661	0.0013963	0.082437	0.013785
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.34	0.0033863	0.00097794	0.082018	0.012389
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	297.87	0.0051337	0.0016249	0.082284	0.014509
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.22	0.0038485	0.0011442	0.081423	0.012859
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.51	0.0025724	0.00074866	0.081789	0.0094029
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.66	0.0016229	0.00053997	0.08158	0.0066725
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.47	0.0027517	0.00080711	0.082228	0.010179
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.68	0.0015837	0.00051447	0.083078	0.0063335
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.64	0.00191	0.00057318	0.082756	0.0070913
0.074985	7.5185e-17	2.4973e+05	2.2672e+05	298.63	0.0020121	0.00058063	0.083524	0.0071813
